n,Bothe_k1,Bothe_k2,Bothe_cpk,Bothe_Power,Pearn_k1,Pearn_k2,Pearn_cpk,Pearn_Power,Tai_k1,Tai_k2,Tai_cpk,Tai_Power
21,0.6546536707079772,1.0,1.7328524461554444,0.5013500009839238,0.0,1.5144496775840661,1.2883031805347882,0.5238002582665244,0.6546536707079772,1.5144496775840661,1.1442126283917116,0.7500185939701831
22,0.6396021490668313,1.0,1.7378696200358272,0.501350000983924,0.0,1.5010066131860142,1.2998412660222223,0.5228226445689813,0.6396021490668313,1.5010066131860142,1.1578027736647016,0.7500160160868233
23,0.6255432421712244,1.0,1.742555922334363,0.5013500009839238,0.0,1.4885433608841885,1.3107245564096361,0.5219317390732363,0.6255432421712244,1.4885433608841885,1.170645053496656,0.7500138976498028
24,0.6123724356957946,1.0,1.746946191159505,0.5013500009839238,0.0,1.4769472754086599,1.3210155628958322,0.5211165075189784,0.6123724356957946,1.4769472754086599,1.18280877066254,0.7500121409493314
25,0.6,1.0,1.7510703363914375,0.5013500009839238,0.0,1.4661229774853055,1.3307685414888681,0.5203677059497474,0.6,1.4661229774853055,1.1943543367657152,0.7500106720808246
26,0.5883484054145521,1.0,1.7549542012532537,0.5013500009839238,0.0,1.4559891016437136,1.3400308657453617,0.519677532594138,0.5883484054145521,1.4559891016437136,1.2053347097667342,0.7500094344722879
27,0.5773502691896257,1.0,1.758620246661561,0.5013500009839238,0.0,1.4464757615218282,1.3488441274250786,0.5190393578179944,0.5773502691896257,1.4464757615218282,1.2157965542480487,0.750008384340647
28,0.5669467095138409,1.0,1.762088099886823,0.5013500009839238,0.0,1.4375225530078077,1.3572450270843437,0.5184475124728697,0.5669467095138409,1.4375225530078077,1.225781185971593,0.7500074874547957
29,0.5570860145311556,1.0,1.765374998214385,0.5013500009839238,0.0,1.4290769655010338,1.365266100771131,0.5178971204352024,0.5570860145311556,1.4290769655010338,1.2353253469419998,0.7500067167988104
30,0.5477225575051661,1.0,1.7684961505563808,0.5013500009839238,0.0,1.4210931063526364,1.3729363175921911,0.5173839649448017,0.5477225575051661,1.4210931063526364,1.2444618460611532,0.7500060508641011
